"_time",102,108,109,110,112,114,140,141A,142B,143,149B,150,150A,151,155D,158,164,164A,166,168,168A,200E,200SW,200WE,202,203,205,206,214,242,246,250,250B,250C,253,255,257,258,260,261A,268,270,274,278,300,300SE,302,302A,303,304,304B,304D,304J,305,306,308,319,321,323,325,325M,341,342,345,"345?",345A,345B,345C,345D,345N,345S,346,348,350,351,352,354,360,364,366a,402,403,404,404L,409,409A,411,412US,441,442,452,C200WW,C300WW,C400NE,C400WW,MallStage,ODNorth,ODSE,ODSW,P100W
"2019-08-01T00:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0
"2019-08-01T01:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-08-01T02:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2019-08-01T03:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0
"2019-08-01T04:00:00.000-0700",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0
"2019-08-01T05:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,3,2,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2,3,0
"2019-08-01T06:00:00.000-0700",0,0,0,0,0,0,0,1,2,2,7,1,3,1,0,14,15,18,3,3,9,9,8,4,4,2,3,0,0,0,3,0,7,6,0,3,2,2,0,12,18,11,3,2,11,5,0,0,0,0,1,0,0,0,0,2,2,0,1,1,1,1,0,0,1,0,0,3,0,3,3,1,1,0,2,2,3,10,2,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,16,33,5,4,1
"2019-08-01T07:00:00.000-0700",2,2,0,2,2,1,3,7,7,2,15,5,4,12,4,20,29,30,13,3,12,32,42,12,22,27,5,0,3,13,12,0,17,24,3,2,22,19,1,27,38,30,3,10,26,30,5,0,5,2,1,2,2,5,4,3,5,0,1,1,1,3,3,6,1,6,3,11,4,16,9,1,6,5,13,6,9,23,1,1,2,21,0,0,0,4,5,1,10,9,2,3,2,1,1,55,92,32,33,17
"2019-08-01T08:00:00.000-0700",8,9,0,9,6,3,4,11,6,3,20,2,6,7,0,17,23,18,7,4,7,47,59,18,53,42,9,11,21,21,31,7,36,31,5,5,46,25,2,54,46,59,11,19,15,59,8,4,4,22,4,5,9,6,13,14,7,7,2,8,18,1,6,10,0,1,0,19,8,28,13,0,4,6,21,7,13,18,4,4,7,47,11,2,7,3,11,5,12,16,2,19,23,0,4,137,174,60,45,33
"2019-08-01T09:00:00.000-0700",23,22,2,21,16,4,8,18,10,8,27,10,12,11,0,26,29,26,11,5,10,64,49,26,101,45,11,11,37,21,35,9,42,54,3,4,45,32,5,63,64,36,13,20,22,58,8,7,12,28,10,12,8,3,25,23,13,10,4,8,15,2,3,17,0,4,1,17,6,36,28,3,7,6,29,13,21,18,2,2,9,56,31,6,5,9,28,3,21,21,4,26,29,2,6,162,146,80,55,35
"2019-08-01T10:00:00.000-0700",31,25,4,27,13,6,15,23,15,4,26,10,7,3,1,22,35,30,12,5,11,97,56,36,115,50,18,11,24,43,37,5,43,47,6,7,45,45,8,82,47,38,13,23,19,77,11,5,10,17,9,6,11,9,19,20,8,4,5,13,2,2,7,11,3,4,10,17,11,30,18,3,13,9,30,13,28,22,2,5,5,60,30,6,6,10,23,7,15,19,1,18,14,3,11,153,120,78,39,45
"2019-08-01T11:00:00.000-0700",42,27,5,32,17,8,12,24,16,7,16,10,10,11,0,15,27,25,12,4,14,159,78,54,126,66,16,16,29,48,71,17,80,85,7,10,57,101,30,97,42,34,23,26,23,109,13,5,14,24,13,8,12,13,22,24,6,11,3,13,13,5,9,10,0,5,11,33,12,19,16,1,8,18,16,23,51,21,1,0,11,78,31,9,4,12,24,7,22,30,13,24,21,4,6,159,148,85,66,62
"2019-08-01T12:00:00.000-0700",44,32,8,34,23,9,11,33,19,10,24,15,15,1,6,18,21,23,6,8,7,250,114,75,162,100,22,19,14,75,95,16,127,138,20,11,110,175,39,168,65,83,41,42,20,138,19,5,21,26,21,18,12,18,23,31,14,10,5,14,12,6,17,21,3,3,7,59,13,39,24,2,16,35,38,38,80,25,3,6,10,107,37,13,9,12,38,9,16,18,8,29,17,4,8,236,197,135,78,71
"2019-08-01T13:00:00.000-0700",48,36,4,32,22,5,9,24,14,7,21,13,15,6,2,22,28,30,6,10,17,156,87,60,135,67,17,17,14,36,54,11,67,88,7,5,63,91,27,116,38,34,18,21,23,109,16,6,15,34,21,15,16,12,26,30,8,12,8,14,10,6,12,7,1,4,10,40,12,19,17,6,13,22,29,21,38,22,1,4,11,73,34,10,11,15,28,13,18,18,7,23,28,7,7,137,170,73,58,56
