"_time",102,108,109,110,112,114,140,141A,142B,143,149B,150,150A,151,155D,158,164,164A,166,168,168A,200E,200SW,200WE,202,203,205,206,214,242,246,250,250B,250C,253,255,257,258,260,261A,268,270,274,278,300,300SE,302,302A,303,304,304B,304D,304J,305,306,308,319,321,323,325,325M,341,342,345,"345?",345A,345B,345C,345D,345N,345S,346,348,350,351,352,354,360,366a,402,403,404,404L,409,409A,411,412US,441,442,445,452,C200WW,C300WW,C400NE,C400WW,MallStage,ODNorth,ODSE,ODSW,P100W
"2019-08-19T00:00:00.000-0700",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,8,1,6,4,1
"2019-08-19T01:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"2019-08-19T02:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,1
"2019-08-19T03:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"2019-08-19T04:00:00.000-0700",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,3,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2019-08-19T05:00:00.000-0700",0,0,0,0,0,0,0,2,0,0,4,0,3,1,0,3,6,6,1,0,2,1,5,1,1,0,0,0,0,0,1,1,1,4,0,0,3,0,0,3,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,4,1,1
"2019-08-19T06:00:00.000-0700",0,0,0,0,0,0,0,2,1,2,9,1,5,5,1,10,14,15,4,7,6,28,57,8,31,27,8,0,1,12,17,13,22,15,1,0,18,17,3,30,20,14,7,10,3,46,4,6,1,1,0,0,1,4,6,2,3,2,0,12,12,0,10,0,0,1,0,2,1,5,0,0,0,3,11,1,2,3,1,1,38,2,0,1,1,2,0,2,4,0,0,5,5,0,0,64,105,55,33,18
"2019-08-19T07:00:00.000-0700",6,5,0,10,8,4,1,23,11,8,20,11,13,7,2,20,22,21,9,9,11,229,264,132,185,223,126,5,11,78,79,102,152,160,15,9,160,190,41,247,72,137,124,125,12,319,10,5,14,16,4,5,4,18,8,16,10,7,1,14,30,1,79,9,15,3,2,22,13,28,10,1,6,9,50,21,43,4,4,5,154,10,1,8,5,12,2,4,33,2,1,30,20,3,4,305,359,396,218,159
"2019-08-19T08:00:00.000-0700",27,16,0,18,19,7,3,39,20,14,20,6,10,16,3,23,33,23,14,9,15,271,228,71,268,204,97,16,40,84,122,99,164,174,11,4,150,189,47,230,90,115,78,88,11,327,7,2,25,19,27,14,4,6,15,31,7,6,2,5,22,1,73,37,4,2,4,18,9,94,3,4,12,14,112,24,47,8,5,12,147,20,8,11,12,23,4,11,26,4,2,30,14,2,10,445,475,453,208,145
"2019-08-19T09:00:00.000-0700",37,18,2,29,23,10,10,42,22,30,42,15,10,10,9,37,47,34,14,10,27,281,154,87,298,138,33,11,28,90,120,60,105,125,12,8,145,171,43,223,84,110,89,102,20,267,14,2,14,24,31,20,12,11,18,30,9,6,4,10,11,2,21,46,4,9,7,13,12,118,4,2,18,13,81,12,20,11,7,14,97,42,7,13,27,39,18,23,15,3,4,24,11,9,19,295,329,165,92,142
