"_time",102,108,109,110,112,114,140,141A,142B,143,149B,150,150A,151,155B,155D,158,164,164A,166,168,168A,200E,200SW,200WE,202,203,205,206,214,242,246,250,250B,250C,253,255,257,258,260,261A,268,270,274,278,300,300SE,302,302A,303,304,304B,304D,304J,305,306,308,319,321,323,325,325M,341,342,345,"345?",345A,345B,345C,345D,345N,345S,346,348,350,351,352,354,360,364,366a,402,403,404,404L,409,411,412US,441,442,445,452,C200WW,C300WW,C400NE,MallStage,ODNorth,ODSE,ODSW,P100W
"2020-08-03T00:00:00.000-0700",0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,4,5,1,0
"2020-08-03T01:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,0
"2020-08-03T02:00:00.000-0700",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0
"2020-08-03T03:00:00.000-0700",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"2020-08-03T04:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
"2020-08-03T05:00:00.000-0700",0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,2,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,2,0,0,0,0,0,6,6,4,4,0
"2020-08-03T06:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,4,4,3,1,3,2,2,11,0,0,2,3,0,0,2,0,3,6,1,0,0,0,0,0,1,7,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,3,0,0,0,0,0,25,14,24,13,1
"2020-08-03T07:00:00.000-0700",0,2,0,5,6,1,0,1,1,4,8,0,1,3,1,5,11,7,7,4,3,2,7,10,1,9,3,0,0,1,1,0,2,3,1,0,0,1,0,0,9,6,4,3,0,0,2,2,0,2,7,1,2,2,2,1,3,0,1,0,1,7,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,1,1,0,1,0,0,15,7,0,29,33,21,7,6
"2020-08-03T08:00:00.000-0700",6,6,0,10,10,4,1,2,1,0,10,2,4,4,0,1,8,10,7,5,1,4,6,15,2,13,2,1,2,1,0,4,3,4,4,0,0,0,0,0,7,7,3,0,0,4,3,2,2,1,12,3,5,5,2,5,2,2,3,0,4,6,0,0,0,1,0,0,2,0,1,1,1,2,1,3,2,0,1,0,0,1,5,1,1,1,1,1,1,0,0,0,10,13,0,31,39,17,7,6
"2020-08-03T09:00:00.000-0700",14,10,0,10,12,6,0,1,1,5,10,0,3,4,1,3,11,7,9,5,5,5,5,13,1,21,8,2,8,4,2,3,4,2,4,0,0,2,3,0,20,9,5,2,2,5,3,1,2,1,10,5,4,3,3,9,3,2,6,0,8,5,0,1,0,0,1,0,4,1,0,0,0,1,1,4,1,4,2,0,0,2,5,1,3,1,1,2,0,2,0,0,9,10,0,27,42,24,7,11
